9	73	2	32	27	2	10	352
1	7	72
2	5	72
1	0	24
2	6	57
1	2	2	
2	0	2	
3	0	0	
4	4	1	
5	2	2	
6	1	2	
7	1	1	
8	0	3	
9	2	0	
10	1	1	
1	2	0	0
2	5	0	0
3	6	0	0
4	2	0	0
5	7	0	0
6	7	0	0
7	3	0	0
8	1	0	0
9	2	0	0
10	4	0	0
11	3	0	0
12	7	0	0
13	6	0	0
14	5	0	0
15	2	0	0
16	3	0	0
17	3	0	0
18	2	0	0
19	4	0	0
20	2	0	0
21	7	0	0
22	3	0	0
23	6	0	0
24	5	0	0
25	4	0	0
26	3	0	0
27	1	0	0
28	7	0	0
29	3	0	0
30	1	0	0
31	1	0	0
32	7	0	0
33	2	9	5
34	6	27	3
35	2	63	5
36	4	69	3
37	2	71	7
38	1	17	4
39	3	39	7
40	5	31	7
41	4	7	1
42	2	53	8
43	3	53	1
44	7	27	9
45	7	3	3
46	6	9	6
47	6	61	5
48	6	25	2
49	4	49	5
50	5	69	4
51	7	15	10
52	1	63	9
53	5	53	3
54	7	63	3
55	2	69	6
56	2	57	8
57	5	49	5
58	4	5	4
59	6	55	4
60	4	63	1
61	4	57	9
62	3	29	1
63	6	29	10
64	3	69	9
65	7	35	9
66	6	41	10
67	7	67	3
68	6	17	5
69	7	19	5
70	1	13	2
71	1	49	7
72	5	9	4
73	7	53	10
74	7	39	5
75	2	70	5
76	3	17	2
77	7	13	7
78	6	71	10
79	5	11	1
80	1	23	8
81	6	57	2
82	3	9	4
83	6	5	4
84	6	49	5
85	5	35	10
86	4	9	4
87	3	3	5
88	7	14	9
89	3	1	1
90	1	53	9
91	1	29	10
92	7	17	5
93	4	61	6
94	1	15	4
95	3	49	8
96	7	41	9
97	3	63	4
98	3	11	10
99	3	59	2
100	5	29	7
101	1	71	5
102	6	53	1
103	1	14	10
104	7	51	5
105	5	47	1
106	6	1	7
107	4	62	3
108	5	51	9
109	2	49	9
110	7	31	2
111	3	19	5
112	1	39	9
113	1	41	7
114	7	52	10
115	1	69	1
116	4	33	2
117	3	71	6
118	6	11	6
119	2	37	9
120	4	53	6
121	6	33	6
122	6	31	4
123	1	43	3
124	7	59	2
125	6	15	5
126	6	51	6
127	3	55	5
128	3	23	7
129	4	17	9
130	6	30	4
131	6	52	10
132	3	37	7
133	5	19	6
134	2	33	5
135	5	25	1
136	5	63	5
137	3	43	3
138	4	31	8
139	7	25	8
140	7	61	8
141	7	55	9
142	3	25	7
143	3	5	10
144	7	23	10
145	2	35	1
146	2	23	4
147	6	54	2
148	5	67	8
149	2	61	1
150	4	8	5
151	1	35	4
152	6	7	7
153	5	30	3
154	2	43	2
155	1	19	6
156	3	54	7
157	1	45	2
158	5	33	2
159	6	23	7
160	4	21	7
161	3	18	3
162	2	67	6
163	6	50	3
164	5	61	2
165	6	65	7
166	5	7	8
167	7	62	4
168	7	47	5
169	2	39	7
170	5	52	10
171	7	29	7
172	3	24	7
173	1	61	5
174	3	21	7
175	7	1	5
176	2	31	6
177	7	57	2
178	7	11	8
179	2	17	1
180	3	2	6
181	6	56	1
182	5	13	4
183	1	55	2
184	6	16	8
185	5	3	2
186	7	12	10
187	7	24	4
188	7	30	3
189	4	43	6
190	5	5	4
191	1	25	9
192	5	59	3
193	5	15	9
194	1	3	8
195	7	71	10
196	3	41	2
197	5	4	3
198	3	35	7
199	2	41	5
200	6	59	9
201	7	40	6
202	3	45	6
203	5	21	3
204	4	32	4
205	3	31	5
206	4	55	6
207	7	43	4
208	6	19	9
209	6	47	3
210	6	58	2
211	2	55	1
212	1	57	6
213	7	58	9
214	4	56	6
215	2	13	3
216	1	11	10
217	1	27	6
218	7	60	6
219	1	16	10
220	2	38	2
221	2	45	7
222	6	37	3
223	7	37	8
224	7	33	7
225	3	20	4
226	2	19	10
227	7	49	4
228	1	18	7
229	5	57	8
230	2	34	6
231	4	39	2
232	3	15	10
233	5	55	5
234	7	65	1
235	2	36	10
236	3	67	6
237	6	35	8
238	1	21	5
239	1	42	9
240	5	56	2
241	4	37	4
242	3	42	8
243	3	13	1
244	5	39	7
245	1	56	1
246	2	15	9
247	4	65	3
248	7	38	10
249	7	16	6
250	4	54	1
251	3	47	6
252	2	14	9
253	3	27	6
254	6	28	8
255	5	41	3
256	1	7	6
257	6	18	6
258	4	51	10
259	6	67	5
260	7	42	4
261	2	7	9
262	4	1	6
263	5	58	4
264	4	19	3
265	4	38	1
266	6	66	1
267	1	51	9
268	2	8	8
269	6	43	10
270	6	6	6
271	5	62	6
272	5	17	7
273	2	1	6
274	2	29	8
275	3	26	9
276	5	32	1
277	7	32	5
278	2	30	4
279	5	37	5
280	5	36	9
281	6	39	3
282	2	16	3
283	4	41	10
284	2	62	10
285	6	24	6
286	2	32	5
287	5	40	2
288	2	56	6
289	5	8	6
290	3	70	4
291	4	25	5
292	5	43	1
293	3	38	10
294	4	47	6
295	3	46	7
296	1	70	10
297	5	38	8
298	4	27	4
299	1	12	1
300	7	7	1
301	1	1	2
302	4	35	5
303	5	45	1
304	3	33	7
305	7	64	5
306	3	16	8
307	4	40	7
308	3	36	10
309	1	2	9
310	3	12	4
311	2	44	10
312	1	65	9
313	1	33	7
314	2	68	2
315	4	34	4
316	1	22	6
317	4	11	4
318	6	21	1
319	4	13	10
320	5	54	5
321	3	14	7
322	6	42	4
323	5	44	8
324	1	67	3
325	2	47	4
326	3	10	9
327	4	45	1
328	5	50	1
329	3	7	4
330	6	10	7
331	3	44	10
332	7	66	4
333	6	36	2
334	3	40	6
335	4	6	6
336	4	52	1
337	3	61	4
338	6	60	1
339	2	51	7
340	3	8	3
341	3	30	3
342	2	21	7
343	2	22	10
344	1	40	2
345	1	9	3
346	2	48	9
347	5	60	1
348	3	34	8
349	2	20	5
350	3	48	8
351	4	59	6
352	4	46	6
