9	151	2	68	53	2	28	664
1	2	150
2	4	150
1	3	90
2	6	97
1	0	0	
2	1	0	
3	0	0	
4	2	2	
5	0	1	
6	4	1	
7	2	0	
8	1	2	
9	0	0	
10	1	0	
11	3	1	
12	0	1	
13	0	3	
14	1	2	
15	0	0	
16	2	1	
17	1	0	
18	3	0	
19	0	1	
20	1	0	
21	0	0	
22	0	0	
23	0	1	
24	1	1	
25	0	0	
26	2	2	
27	1	5	
28	0	3	
1	5	0	0
2	4	0	0
3	4	0	0
4	5	0	0
5	6	0	0
6	3	0	0
7	5	0	0
8	2	0	0
9	2	0	0
10	1	0	0
11	3	0	0
12	6	0	0
13	7	0	0
14	4	0	0
15	4	0	0
16	6	0	0
17	1	0	0
18	3	0	0
19	1	0	0
20	4	0	0
21	6	0	0
22	5	0	0
23	1	0	0
24	4	0	0
25	7	0	0
26	4	0	0
27	6	0	0
28	3	0	0
29	4	0	0
30	3	0	0
31	6	0	0
32	3	0	0
33	1	0	0
34	1	0	0
35	4	0	0
36	5	0	0
37	3	0	0
38	7	0	0
39	3	0	0
40	5	0	0
41	5	0	0
42	4	0	0
43	6	0	0
44	1	0	0
45	1	0	0
46	3	0	0
47	5	0	0
48	2	0	0
49	5	0	0
50	1	0	0
51	3	0	0
52	3	0	0
53	3	0	0
54	1	0	0
55	6	0	0
56	1	0	0
57	3	0	0
58	7	0	0
59	5	0	0
60	2	0	0
61	5	0	0
62	2	0	0
63	6	0	0
64	6	0	0
65	2	0	0
66	7	0	0
67	5	0	0
68	6	0	0
69	1	19	26
70	4	73	5
71	7	47	12
72	7	49	10
73	6	23	28
74	3	91	18
75	7	71	15
76	6	107	14
77	1	93	13
78	7	121	28
79	3	13	14
80	2	55	11
81	2	95	4
82	1	59	11
83	6	61	2
84	6	115	5
85	5	109	23
86	2	33	19
87	4	143	5
88	4	59	28
89	2	11	13
90	3	69	12
91	5	25	3
92	3	53	3
93	4	9	7
94	5	137	23
95	7	143	21
96	4	111	16
97	5	145	4
98	7	67	22
99	3	55	15
100	5	1	19
101	2	17	7
102	7	91	4
103	3	75	5
104	7	59	26
105	7	125	28
106	6	105	24
107	1	123	23
108	6	65	5
109	6	87	27
110	7	103	15
111	3	71	1
112	2	25	27
113	2	125	18
114	7	117	13
115	2	103	21
116	5	87	18
117	7	31	19
118	2	107	11
119	2	1	6
120	6	27	9
121	3	47	22
122	6	117	1
123	7	51	20
124	4	5	26
125	3	67	22
126	7	129	11
127	4	139	2
128	3	35	4
129	1	47	28
130	7	3	21
131	2	41	14
132	5	117	8
133	3	25	6
134	7	101	13
135	4	121	12
136	6	116	17
137	2	69	19
138	2	57	17
139	2	65	5
140	1	53	16
141	2	53	2
142	1	95	13
143	6	47	8
144	1	77	24
145	3	87	4
146	3	61	5
147	3	97	1
148	1	115	25
149	1	97	17
150	6	3	21
151	6	51	28
152	3	121	27
153	6	85	11
154	2	37	26
155	7	5	21
156	7	99	26
157	7	105	9
158	4	131	4
159	3	125	7
160	4	91	1
161	1	111	3
162	1	105	13
163	1	71	24
164	2	115	6
165	5	5	10
166	4	85	18
167	4	37	10
168	6	127	6
169	5	113	5
170	5	127	11
171	1	113	5
172	1	3	17
173	2	59	13
174	2	121	2
175	4	75	28
176	4	83	25
177	1	79	19
178	5	75	19
179	7	69	27
180	7	63	27
181	2	9	28
182	3	105	15
183	2	143	9
184	4	65	17
185	4	93	10
186	4	87	7
187	5	17	4
188	7	141	27
189	1	103	14
190	2	141	18
191	5	67	5
192	6	57	17
193	7	53	18
194	5	33	22
195	6	45	5
196	3	81	21
197	3	7	21
198	2	123	4
199	7	23	14
200	3	115	25
201	1	78	18
202	5	59	5
203	4	117	7
204	3	83	27
205	6	83	20
206	5	43	11
207	6	35	7
208	3	131	28
209	2	137	22
210	5	141	18
211	6	97	20
212	7	109	9
213	1	5	22
214	7	70	23
215	7	111	23
216	1	125	17
217	2	7	11
218	6	9	27
219	5	77	17
220	1	89	18
221	3	41	17
222	1	31	1
223	5	89	27
224	1	25	1
225	3	133	8
226	7	119	2
227	7	75	21
228	2	13	8
229	6	125	8
230	2	21	21
231	3	31	15
232	1	75	27
233	5	73	27
234	3	3	10
235	5	69	12
236	4	13	19
237	6	55	2
238	3	123	5
239	6	29	24
240	6	111	2
241	6	129	27
242	4	107	18
243	4	86	2
244	7	1	12
245	2	133	11
246	2	93	10
247	4	79	10
248	3	119	22
249	5	39	3
250	4	103	18
251	6	75	20
252	4	109	27
253	6	86	6
254	4	11	23
255	4	19	28
256	6	5	26
257	5	55	3
258	1	11	10
259	1	51	13
260	1	7	15
261	2	99	24
262	1	121	6
263	2	113	2
264	2	149	10
265	6	133	16
266	6	11	16
267	4	53	3
268	4	35	2
269	5	13	15
270	7	13	21
271	6	101	27
272	1	57	7
273	7	55	9
274	7	93	11
275	3	139	28
276	7	27	3
277	1	129	27
278	4	113	25
279	6	1	8
280	7	33	24
281	1	6	1
282	1	131	23
283	4	33	2
284	5	35	13
285	6	137	28
286	1	114	15
287	7	19	8
288	1	96	7
289	7	89	24
290	4	89	26
291	3	29	25
292	1	9	20
293	3	68	16
294	5	11	14
295	6	77	15
296	4	123	6
297	7	131	25
298	7	81	19
299	6	84	7
300	1	4	20
301	7	50	10
302	6	121	11
303	2	45	6
304	4	15	23
305	1	117	6
306	1	119	22
307	2	122	24
308	6	13	4
309	1	37	11
310	1	1	24
311	6	21	1
312	1	112	5
313	5	103	19
314	7	97	24
315	5	95	6
316	4	47	16
317	1	116	21
318	1	141	26
319	2	101	18
320	5	133	18
321	2	97	19
322	4	63	13
323	4	137	20
324	4	31	27
