9	153	2	70	63	2	20	685
1	5	152
2	6	152
1	2	131
2	3	112
1	0	2	
2	1	1	
3	2	0	
4	2	1	
5	1	4	
6	2	0	
7	1	5	
8	1	2	
9	1	2	
10	4	1	
11	1	2	
12	1	3	
13	3	0	
14	3	1	
15	2	1	
16	0	2	
17	1	0	
18	1	3	
19	1	1	
20	3	1	
1	3	0	0
2	2	0	0
3	1	0	0
4	5	0	0
5	1	0	0
6	7	0	0
7	4	0	0
8	7	0	0
9	5	0	0
10	5	0	0
11	5	0	0
12	2	0	0
13	1	0	0
14	2	0	0
15	7	0	0
16	7	0	0
17	6	0	0
18	5	0	0
19	1	0	0
20	1	0	0
21	4	0	0
22	7	0	0
23	5	0	0
24	1	0	0
25	6	0	0
26	6	0	0
27	4	0	0
28	4	0	0
29	4	0	0
30	5	0	0
31	1	0	0
32	3	0	0
33	4	0	0
34	5	0	0
35	1	0	0
36	5	0	0
37	7	0	0
38	2	0	0
39	1	0	0
40	4	0	0
41	7	0	0
42	6	0	0
43	6	0	0
44	1	0	0
45	1	0	0
46	7	0	0
47	7	0	0
48	6	0	0
49	1	0	0
50	2	0	0
51	4	0	0
52	4	0	0
53	5	0	0
54	6	0	0
55	2	0	0
56	4	0	0
57	4	0	0
58	7	0	0
59	6	0	0
60	3	0	0
61	3	0	0
62	7	0	0
63	4	0	0
64	7	0	0
65	4	0	0
66	3	0	0
67	6	0	0
68	4	0	0
69	1	0	0
70	3	0	0
71	7	123	13
72	5	53	11
73	2	21	13
74	2	7	13
75	7	139	18
76	6	131	14
77	3	87	8
78	2	109	11
79	6	107	13
80	3	81	13
81	1	35	20
82	3	111	15
83	1	125	19
84	3	125	16
85	4	49	17
86	1	107	10
87	6	77	15
88	2	39	17
89	7	87	2
90	5	73	13
91	3	29	19
92	7	137	19
93	4	129	15
94	5	45	2
95	6	41	2
96	4	67	4
97	1	101	9
98	3	25	20
99	2	99	19
100	3	143	5
101	2	107	8
102	2	15	4
103	6	71	8
104	7	41	13
105	2	75	9
106	4	147	16
107	7	149	15
108	3	51	2
109	1	13	9
110	2	17	8
111	3	31	7
112	1	39	9
113	3	49	20
114	3	93	8
115	4	19	5
116	5	47	1
117	5	91	8
118	3	115	19
119	6	85	17
120	2	29	4
121	6	143	20
122	7	1	7
123	4	95	15
124	2	19	8
125	1	79	5
126	7	121	16
127	6	63	1
128	7	101	18
129	3	57	15
130	7	13	17
131	1	27	11
132	2	69	1
133	6	117	11
134	1	137	12
135	3	105	8
136	3	43	5
137	3	3	20
138	5	5	7
139	4	97	14
140	7	69	12
141	6	99	1
142	3	37	5
143	2	119	17
144	2	137	13
145	4	55	10
146	5	81	1
147	7	125	7
148	1	145	7
149	6	91	17
150	4	133	20
151	5	55	12
152	2	18	14
153	7	63	16
154	4	109	16
155	4	63	13
156	3	147	13
157	7	5	6
158	1	33	1
159	2	67	20
160	6	69	1
161	2	151	11
162	2	1	18
163	6	59	6
164	2	123	19
165	7	29	5
166	4	143	14
167	2	31	19
168	2	30	5
169	1	15	13
170	3	59	10
171	3	35	10
172	2	9	17
173	1	83	20
174	2	71	14
175	3	61	3
176	1	135	17
177	1	75	11
178	6	13	2
179	4	31	3
180	7	135	13
181	4	137	12
182	7	99	5
183	1	89	15
184	4	87	19
185	2	149	16
186	1	7	12
187	5	149	6
188	6	29	16
189	3	131	7
190	6	151	16
191	1	99	11
192	5	117	15
193	1	117	15
194	5	75	13
195	2	143	19
196	7	19	19
197	6	3	14
198	6	70	15
199	5	67	19
200	6	101	7
201	5	7	6
202	4	59	11
203	1	121	11
204	2	3	16
205	7	35	19
206	6	61	3
207	3	53	4
208	5	19	20
209	3	50	4
210	2	23	7
211	2	37	17
212	5	145	7
213	1	100	2
214	7	141	20
215	3	77	20
216	2	87	10
217	5	33	10
218	2	131	16
219	1	119	3
220	5	137	12
221	5	105	17
222	7	25	7
223	2	79	15
224	5	121	10
225	2	53	1
226	7	3	9
227	6	135	9
228	2	85	14
229	5	141	2
230	5	23	1
231	5	125	4
232	4	115	18
233	6	81	6
234	5	61	17
235	2	8	15
236	7	91	17
237	5	9	12
238	6	105	7
239	1	31	7
240	2	55	6
241	4	105	9
242	7	49	7
243	2	89	16
244	6	49	3
245	3	55	11
246	2	47	1
247	5	103	13
248	7	100	9
249	3	103	20
250	5	133	19
251	2	25	16
252	5	43	9
253	2	33	20
254	2	20	4
255	6	55	17
256	6	37	7
257	1	136	6
258	5	39	4
259	3	139	4
260	6	35	19
261	5	97	9
262	5	37	9
263	5	93	17
264	2	127	18
265	6	17	6
266	1	37	2
267	6	109	6
268	1	143	14
269	7	122	8
270	2	57	5
271	2	16	10
272	4	89	9
273	3	30	17
274	1	95	7
275	1	97	15
276	1	113	3
277	3	85	14
278	3	135	15
279	3	41	3
280	7	145	6
281	7	39	1
282	5	87	8
283	7	97	12
284	6	21	14
285	2	35	18
286	3	119	20
287	1	21	9
288	1	77	2
289	2	34	2
290	5	69	15
291	7	55	18
292	7	107	18
293	2	115	18
294	7	77	1
295	5	8	9
296	4	73	15
297	5	59	18
298	4	121	18
299	5	44	2
300	6	39	6
301	2	147	9
302	2	121	5
303	4	99	3
304	1	151	17
305	6	19	5
306	7	21	4
307	6	27	3
308	5	99	18
309	2	125	14
310	2	135	19
311	2	108	12
312	7	83	15
313	4	135	12
314	4	125	4
315	2	136	4
316	2	51	19
317	5	15	5
318	5	89	7
319	7	15	12
320	5	3	2
321	7	115	19
322	4	107	14
323	7	47	6
324	2	49	9
325	4	1	12
326	7	17	6
327	2	88	15
328	5	29	13
329	6	139	10
330	7	147	18
331	7	37	20
332	2	54	9
333	1	123	16
334	7	53	8
335	6	67	4
336	2	113	13
337	2	145	3
338	2	91	18
339	2	101	2
340	1	11	4
341	4	141	1
342	6	36	9
343	5	135	18
344	1	91	16
345	5	6	18
346	7	85	5
347	3	56	13
348	4	77	17
349	1	127	1
350	6	83	19
351	6	65	16
352	1	36	3
353	4	117	2
354	1	115	15
355	6	45	13
356	5	57	12
357	5	83	12
358	5	25	14
359	2	59	9
360	4	136	5
361	7	151	19
362	6	119	14
363	5	147	20
364	1	38	12
365	2	38	8
366	3	54	3
367	5	143	2
368	7	59	13
369	3	45	15
370	1	5	10
371	3	104	8
372	3	69	4
373	5	63	3
374	1	118	5
375	2	139	15
376	7	127	14
377	2	95	7
378	3	79	13
379	3	39	3
380	7	75	9
381	3	151	11
382	5	144	4
383	6	28	7
384	1	93	8
385	1	116	16
386	5	79	9
387	5	65	9
388	5	139	7
389	5	74	9
390	3	117	8
391	3	83	12
392	5	49	1
