tedade Kalaf	477
tedade r	9
tedade n	151
tedade darb	2
tedade type	26
tedade m	3
v1	1
v2	2
lambda1	2
lambda2	4
mu	0.5
RowDisUnit	4
ColDisUnit	2
RowDisUnit_2	4
ColDisUnit_2	2
safeD	1
darb	r	n
1	2	150
2	3	150
jaresaghil	r	n
1	1	48
2	2	73
3	8	100
	darb
Type	1	2	
1	2	0	
2	0	1	
3	0	0	
4	0	0	
5	0	0	
6	0	0	
7	1	0	
8	0	2	
9	0	2	
10	0	1	
11	1	2	
12	2	0	
13	0	3	
14	1	1	
15	1	0	
16	1	0	
17	1	2	
18	1	0	
19	0	0	
20	2	1	
21	0	0	
22	1	0	
23	1	1	
24	1	0	
25	0	2	
26	2	1	
kalaf	r	n	type
1	4	0	0
2	2	0	0
3	5	0	0
4	4	0	0
5	2	0	0
6	4	0	0
7	3	0	0
8	3	0	0
9	5	0	0
10	4	0	0
11	4	0	0
12	6	0	0
13	3	0	0
14	6	0	0
15	4	0	0
16	3	0	0
17	2	0	0
18	2	0	0
19	5	0	0
20	4	0	0
21	4	0	0
22	6	0	0
23	3	0	0
24	5	0	0
25	6	0	0
26	4	0	0
27	2	0	0
28	2	0	0
29	6	0	0
30	3	0	0
31	5	0	0
32	2	0	0
33	4	0	0
34	4	0	0
35	6	0	0
36	4	0	0
37	6	0	0
38	2	0	0
39	2	0	0
40	6	0	0
41	3	0	0
42	6	0	0
43	3	0	0
44	5	0	0
45	2	0	0
46	3	0	0
47	5	93	3
48	3	133	14
49	6	99	11
50	5	47	24
51	2	75	12
52	5	129	1
53	5	69	15
54	3	145	9
55	4	5	12
56	5	71	10
57	4	31	22
58	6	131	2
59	4	37	24
60	2	53	23
61	3	97	20
62	4	133	20
63	4	23	16
64	6	57	1
65	5	65	8
66	3	73	9
67	4	95	14
68	4	17	10
69	5	41	24
70	4	29	12
71	3	149	24
72	3	141	25
73	6	103	22
74	5	133	24
75	2	89	9
76	2	57	2
77	3	103	22
78	4	145	9
79	6	63	1
80	4	141	3
81	5	77	10
82	5	23	4
83	2	95	10
84	6	29	24
85	3	147	16
86	4	1	15
87	4	45	17
88	4	43	11
89	3	109	17
90	6	23	16
91	6	43	26
92	6	89	10
93	2	147	7
94	3	146	19
95	6	121	3
96	4	79	17
97	3	75	10
98	5	117	1
99	3	47	8
100	6	25	15
101	6	24	23
102	4	71	14
103	6	95	14
104	4	147	19
105	3	107	5
106	5	70	7
107	2	145	26
108	3	23	19
109	4	59	7
110	6	107	23
111	3	113	4
112	6	137	9
113	2	65	21
114	3	9	3
115	6	81	11
116	2	101	3
117	6	11	7
118	5	13	26
119	4	77	10
120	4	51	18
121	5	73	8
122	3	101	21
123	2	71	7
124	4	21	9
125	2	77	1
126	4	149	1
127	3	115	26
128	3	3	23
129	6	113	5
130	4	39	4
131	3	71	13
132	6	45	25
133	2	15	24
134	4	61	26
135	3	137	7
136	3	15	3
137	6	39	7
138	2	131	3
139	6	3	5
140	3	11	22
141	3	119	24
142	6	44	23
143	6	71	4
144	5	131	22
145	2	19	19
146	2	47	9
147	4	146	9
148	3	129	5
149	4	89	11
150	6	1	6
151	6	51	12
152	5	72	22
153	6	47	13
154	3	13	3
155	6	27	4
156	2	87	20
157	3	114	16
158	6	41	11
159	4	117	25
160	2	83	24
161	2	125	16
162	4	22	17
163	3	1	24
164	2	109	13
165	6	133	26
166	5	57	10
167	4	57	1
168	2	25	24
169	2	76	4
170	2	37	10
171	6	147	17
172	2	43	24
173	5	53	9
174	4	9	10
175	4	137	25
176	5	113	14
177	3	81	23
178	2	31	6
179	4	131	8
180	5	89	24
181	3	127	19
182	3	33	21
183	4	135	20
184	3	99	25
185	5	27	24
186	4	119	10
187	4	78	20
188	2	3	15
189	5	21	1
190	2	33	23
191	5	19	21
192	3	128	25
193	3	95	3
194	2	55	15
195	4	132	22
196	4	47	17
197	5	9	4
198	2	11	5
199	4	69	8
200	4	63	23
201	2	23	11
202	6	119	17
203	4	121	9
204	5	103	15
205	4	30	14
206	5	145	13
207	3	65	21
208	4	41	15
209	6	83	8
210	5	1	11
211	6	31	20
212	4	40	19
213	5	33	23
214	4	44	20
215	6	67	22
216	2	121	7
217	5	137	6
218	6	145	3
219	4	46	9
220	4	143	26
221	5	15	14
222	6	69	12
223	2	139	24
224	4	27	19
225	6	115	12
226	4	93	4
227	6	141	26
228	2	135	8
229	4	105	3
230	2	103	16
231	5	37	23
232	3	102	1
233	4	49	11
234	5	130	2
235	4	142	7
236	5	115	11
237	3	148	14
238	2	32	5
239	2	13	14
240	5	91	16
241	5	35	4
242	5	90	8
243	4	99	1
244	5	17	18
245	2	41	15
246	6	73	23
247	3	57	24
248	5	25	17
249	6	97	19
250	2	85	20
251	2	79	8
252	4	60	14
253	3	96	1
254	4	15	8
255	2	93	26
256	3	91	24
257	5	99	13
258	2	113	11
259	4	120	14
260	6	7	10
261	5	114	5
262	2	29	11
263	5	141	19
264	3	35	24
265	2	49	7
266	5	55	8
267	5	39	21
268	5	123	6
269	4	75	13
270	5	11	11
271	6	127	6
272	6	17	2
273	3	125	21
274	4	73	20
275	3	100	3
276	5	22	5
277	2	129	19
278	6	70	24
279	3	111	10
280	2	94	4
281	6	30	12
282	3	79	22
283	5	107	26
284	5	59	20
285	4	76	24
286	2	39	11
287	2	115	5
288	3	108	19
289	6	59	26
290	3	5	21
291	4	123	12
292	2	149	25
293	5	95	8
294	3	49	19
295	3	112	17
296	3	126	1
297	6	19	9
298	6	87	7
299	2	38	20
300	6	49	9
301	4	97	16
302	6	68	23
303	2	61	11
304	2	105	25
305	2	63	3
306	4	87	8
307	3	87	4
308	6	120	10
309	4	65	8
310	5	5	6
311	4	50	19
312	2	102	9
313	6	50	1
314	2	86	21
315	6	111	12
316	4	28	22
317	5	61	22
318	5	101	20
319	6	26	7
320	2	114	2
321	3	85	7
322	6	40	22
323	4	81	17
324	5	34	11
325	6	93	6
326	2	62	18
327	5	3	10
328	6	65	17
329	5	54	12
330	2	148	1
331	6	77	8
332	4	109	17
333	4	113	13
334	2	40	11
335	4	118	26
